"","cntry","essround","field_start","field_end","recent_election","max_days_since_election","split_wave","recent_election_split1","max_days_since_election_split1"
"1","AL",6,2012-12-19,2013-02-12,NA,NA,NA,NA,NA
"2","AT",1,2003-02-02,2003-09-30,2002-11-24,310,FALSE,NA,NA
"3","AT",2,2005-01-06,2005-04-25,2002-11-24,883,FALSE,NA,NA
"4","AT",3,2007-07-18,2007-11-05,2006-10-01,400,FALSE,NA,NA
"5","AT",7,2014-10-17,2015-05-03,2013-09-29,581,FALSE,NA,NA
"6","AT",8,2016-09-19,2016-12-11,2013-09-29,1169,FALSE,NA,NA
"7","AT",9,2018-09-18,2019-01-12,2017-10-15,454,FALSE,NA,NA
"8","BE",1,2002-01-14,2003-11-08,2003-05-18,174,TRUE,1999-06-13,1435
"9","BE",2,2004-10-06,2005-02-28,2003-05-18,652,FALSE,NA,NA
"10","BE",3,2006-10-26,2007-02-19,2003-05-18,1373,FALSE,NA,NA
"11","BE",4,2008-11-13,2009-03-23,2007-06-10,652,FALSE,NA,NA
"12","BE",5,2010-10-12,2011-05-05,2010-06-13,326,FALSE,NA,NA
"13","BE",6,2012-09-10,2012-12-24,2010-06-13,925,FALSE,NA,NA
"14","BE",7,2014-09-16,2015-02-01,2014-05-25,252,FALSE,NA,NA
"15","BE",8,2016-09-15,2017-01-31,2014-05-25,982,FALSE,NA,NA
"16","BE",9,2018-09-20,2019-01-27,2014-05-25,1708,FALSE,NA,NA
"17","BG",3,2006-11-29,2006-12-31,2005-06-25,554,FALSE,NA,NA
"18","BG",4,2009-03-07,2009-05-31,2005-06-25,1436,FALSE,NA,NA
"19","BG",5,2010-12-22,2011-03-28,2009-07-05,631,FALSE,NA,NA
"20","BG",6,2013-02-01,2013-04-30,2009-07-05,1395,FALSE,NA,NA
"21","BG",9,NA,NA,NA,NA,NA,NA,NA
"22","CH",1,2002-07-10,2003-02-10,1999-10-24,1205,FALSE,NA,NA
"23","CH",2,2004-09-16,2005-02-28,2003-10-19,498,FALSE,NA,NA
"24","CH",3,2006-08-24,2007-04-02,2003-10-19,1261,FALSE,NA,NA
"25","CH",4,2008-08-30,2009-04-17,2007-10-21,544,FALSE,NA,NA
"26","CH",5,2010-10-02,2011-03-23,2007-10-21,1249,FALSE,NA,NA
"27","CH",6,2012-09-01,2013-04-13,2011-10-23,538,FALSE,NA,NA
"28","CH",7,2014-08-30,2015-02-16,2011-10-23,1212,FALSE,NA,NA
"29","CH",8,2016-09-02,2017-03-02,2015-10-18,501,FALSE,NA,NA
"30","CH",9,2018-08-31,2019-02-11,2015-10-18,1212,FALSE,NA,NA
"31","CY",3,2006-10-01,2006-12-18,2006-05-21,211,FALSE,NA,NA
"32","CY",4,2008-09-29,2008-12-19,2006-05-21,943,FALSE,NA,NA
"33","CY",5,2011-01-02,2011-06-20,2011-05-22,29,TRUE,2006-05-21,1827
"34","CY",6,2012-09-30,2013-01-12,2011-05-22,601,FALSE,NA,NA
"35","CY",9,2018-09-18,2019-05-26,2016-05-22,1099,FALSE,NA,NA
"36","CZ",1,2002-11-18,2003-03-13,2002-06-15,271,FALSE,NA,NA
"37","CZ",2,2004-09-27,2004-12-14,2002-06-15,913,FALSE,NA,NA
"38","CZ",4,2009-06-07,2009-07-10,2006-06-03,1133,FALSE,NA,NA
"39","CZ",5,2011-01-20,2011-03-08,2010-05-29,283,FALSE,NA,NA
"40","CZ",6,2013-01-09,2013-03-11,2010-05-29,1017,FALSE,NA,NA
"41","CZ",7,2014-11-24,2015-02-09,2013-10-25,472,FALSE,NA,NA
"42","CZ",8,2016-10-25,2016-12-15,2013-10-25,1147,FALSE,NA,NA
"43","CZ",9,2018-11-17,2019-02-02,2017-10-21,469,FALSE,NA,NA
"44","DE",1,2002-11-23,2003-05-16,2002-09-22,236,FALSE,NA,NA
"45","DE",2,2004-08-30,2005-01-17,2002-09-22,848,FALSE,NA,NA
"46","DE",3,2006-09-02,2007-01-15,2005-09-18,484,FALSE,NA,NA
"47","DE",4,2008-08-28,2009-01-31,2005-09-18,1231,FALSE,NA,NA
"48","DE",5,2010-09-15,2011-02-03,2009-09-27,494,FALSE,NA,NA
"49","DE",6,2012-09-06,2013-01-22,2009-09-27,1213,FALSE,NA,NA
"50","DE",7,2014-08-23,2015-02-05,2013-09-22,501,FALSE,NA,NA
"51","DE",8,2016-08-29,2017-03-17,2013-09-22,1272,FALSE,NA,NA
"52","DE",9,2018-09-03,2019-03-03,2017-09-24,525,FALSE,NA,NA
"53","DK",1,2002-01-25,2003-10-21,2001-11-20,700,FALSE,NA,NA
"54","DK",2,2004-10-15,2005-01-31,2001-11-20,1168,FALSE,NA,NA
"55","DK",3,2006-09-04,2007-05-02,2005-02-08,813,FALSE,NA,NA
"56","DK",4,2008-09-06,2009-01-11,2007-11-13,425,FALSE,NA,NA
"57","DK",5,2010-10-02,2011-02-06,2007-11-13,1181,FALSE,NA,NA
"58","DK",6,2013-01-02,2013-05-02,2011-09-15,595,FALSE,NA,NA
"59","DK",7,2014-10-01,2015-01-30,2011-09-15,1233,FALSE,NA,NA
"60","EE",2,2004-10-15,2005-01-31,2003-03-02,701,FALSE,NA,NA
"61","EE",3,2006-11-02,2007-12-17,2007-03-04,288,TRUE,2003-03-02,1463
"62","EE",4,2008-11-15,2009-03-26,2007-03-04,753,FALSE,NA,NA
"63","EE",5,NA,NA,NA,NA,NA,NA,NA
"64","EE",6,2012-09-05,2013-01-14,2011-03-06,680,FALSE,NA,NA
"65","EE",7,2014-09-15,2014-12-28,2011-03-06,1393,FALSE,NA,NA
"66","EE",8,2016-10-01,2017-01-31,2015-03-01,702,FALSE,NA,NA
"67","EE",9,2018-10-01,2019-03-02,2015-03-01,1462,FALSE,NA,NA
"68","ES",1,2002-11-18,2003-03-03,2000-03-12,1086,FALSE,NA,NA
"69","ES",2,2004-04-03,2005-02-01,2004-03-14,324,FALSE,NA,NA
"70","ES",3,2006-10-25,2007-03-03,2004-03-14,1084,FALSE,NA,NA
"71","ES",4,2008-09-04,2009-02-18,2008-03-09,346,FALSE,NA,NA
"72","ES",5,2011-04-02,2011-07-29,2008-03-09,1237,FALSE,NA,NA
"73","ES",6,2013-01-23,2013-05-12,2011-11-20,539,FALSE,NA,NA
"74","ES",7,2015-01-23,2015-06-25,2011-11-20,1313,FALSE,NA,NA
"75","ES",8,2017-02-17,2017-06-18,2016-06-26,357,FALSE,NA,NA
"76","FI",1,2002-09-09,2002-12-15,1999-03-21,1365,FALSE,NA,NA
"77","FI",2,2004-09-20,2004-12-20,2003-03-16,645,FALSE,NA,NA
"78","FI",3,2006-09-04,2006-12-22,2003-03-16,1377,FALSE,NA,NA
"79","FI",4,2008-09-19,2009-02-05,2007-03-18,690,FALSE,NA,NA
"80","FI",5,2010-09-16,2010-12-30,2007-03-18,1383,FALSE,NA,NA
"81","FI",6,2012-09-04,2013-02-04,2011-04-17,659,FALSE,NA,NA
"82","FI",7,2014-09-12,2015-02-09,2011-04-17,1394,FALSE,NA,NA
"83","FI",8,2016-09-21,2017-03-03,2015-04-19,684,FALSE,NA,NA
"84","FI",9,2018-09-06,2019-02-18,2015-04-19,1401,FALSE,NA,NA
"85","FR",1,2003-09-15,2003-12-15,2002-06-16,547,FALSE,NA,NA
"86","FR",2,2004-11-08,2005-03-04,2002-06-16,992,FALSE,NA,NA
"87","FR",3,2006-09-23,2007-04-07,2002-06-16,1756,FALSE,NA,NA
"88","FR",4,2008-09-29,2009-02-06,2007-06-17,600,FALSE,NA,NA
"89","FR",5,2010-10-18,2011-04-06,2007-06-17,1389,FALSE,NA,NA
"90","FR",6,2013-02-08,2013-06-24,2012-06-17,372,FALSE,NA,NA
"91","FR",7,2014-10-31,2015-02-23,2012-06-17,981,FALSE,NA,NA
"92","FR",8,2016-11-10,2017-03-10,2012-06-17,1727,FALSE,NA,NA
"93","FR",9,2018-10-20,2019-04-01,2017-06-18,652,FALSE,NA,NA
"94","GB",1,2002-09-24,2003-02-04,2001-06-07,607,FALSE,NA,NA
"95","GB",2,2004-09-29,2005-03-04,2001-06-07,1366,FALSE,NA,NA
"96","GB",3,2006-09-07,2007-01-12,2005-05-05,617,FALSE,NA,NA
"97","GB",4,2008-09-02,2009-01-16,2005-05-05,1352,FALSE,NA,NA
"98","GB",5,2010-08-31,2011-02-28,2010-05-06,298,FALSE,NA,NA
"99","GB",6,2012-09-01,2013-02-07,2010-05-06,1008,FALSE,NA,NA
"100","GB",7,2014-08-29,2015-11-28,2015-05-07,205,TRUE,2010-05-06,1827
"101","GB",8,2016-09-05,2017-03-06,2015-05-07,669,FALSE,NA,NA
"102","GB",9,2018-09-01,2019-02-16,2017-06-08,618,FALSE,NA,NA
"103","GR",1,2003-02-01,2003-03-13,2000-04-09,1068,FALSE,NA,NA
"104","GR",2,2005-01-10,2005-03-20,2004-03-07,378,FALSE,NA,NA
"105","GR",4,2009-07-06,2009-11-21,2009-10-04,48,TRUE,2007-09-16,749
"106","GR",5,2011-05-06,2011-07-05,2009-10-04,639,FALSE,NA,NA
"107","HR",4,2008-12-13,2009-03-27,2007-11-25,488,FALSE,NA,NA
"108","HR",5,2011-01-07,2011-12-14,2011-12-04,10,TRUE,2007-11-25,1470
"109","HU",1,2002-10-04,2002-11-26,2002-04-21,219,FALSE,NA,NA
"110","HU",2,2005-04-02,2005-05-31,2002-04-21,1136,FALSE,NA,NA
"111","HU",3,2006-11-21,2007-01-28,2006-04-09,294,FALSE,NA,NA
"112","HU",4,2009-02-21,2009-04-20,2006-04-09,1107,FALSE,NA,NA
"113","HU",5,2010-10-21,2010-12-09,2010-04-25,228,FALSE,NA,NA
"114","HU",6,2012-11-10,2013-02-17,2010-04-25,1029,FALSE,NA,NA
"115","HU",7,2015-04-24,2015-06-26,2014-04-06,446,FALSE,NA,NA
"116","HU",8,2017-02-06,2017-09-16,2014-04-06,1259,FALSE,NA,NA
"117","HU",9,2019-01-31,2019-05-22,2018-04-08,409,FALSE,NA,NA
"118","IE",1,2002-01-30,2003-05-01,2002-05-17,349,TRUE,1997-06-06,1806
"119","IE",2,2005-01-08,2005-06-15,2002-05-17,1125,FALSE,NA,NA
"120","IE",3,2006-01-02,2007-11-15,2007-05-24,175,TRUE,2002-05-17,1833
"121","IE",4,2009-09-11,2010-03-12,2007-05-24,1023,FALSE,NA,NA
"122","IE",5,2011-08-01,2012-02-05,2011-02-25,345,FALSE,NA,NA
"123","IE",6,2012-10-22,2013-02-09,2011-02-25,715,FALSE,NA,NA
"124","IE",7,2014-09-04,2015-01-31,2011-02-25,1436,FALSE,NA,NA
"125","IE",8,2016-11-28,2017-05-08,2016-02-26,437,FALSE,NA,NA
"126","IE",9,2018-11-07,2019-03-31,2016-02-26,1129,FALSE,NA,NA
"127","IL",1,2002-01-15,2003-03-01,2003-01-28,32,TRUE,1999-05-17,1352
"128","IL",4,2008-01-06,2009-12-30,2009-02-10,323,TRUE,2006-03-28,1050
"129","IL",5,2011-01-05,2011-06-13,2009-02-10,853,FALSE,NA,NA
"130","IL",6,2012-09-03,2013-02-24,2013-01-22,33,TRUE,2009-02-10,1442
"131","IL",7,2015-05-12,2015-12-02,2015-03-17,260,FALSE,NA,NA
"132","IL",8,2016-09-06,2017-02-08,2015-03-17,694,FALSE,NA,NA
"133","IS",2,2005-05-02,2005-12-02,2003-05-10,937,FALSE,NA,NA
"134","IS",6,2012-01-31,2013-03-23,2009-04-25,1428,FALSE,NA,NA
"135","IS",8,2016-11-03,2017-06-08,2016-10-29,222,FALSE,NA,NA
"136","IT",1,2003-01-13,2003-06-26,2001-05-13,774,FALSE,NA,NA
"137","IT",2,2006-02-02,2006-05-29,2006-04-09,50,TRUE,2001-05-13,1792
"138","IT",6,2013-05-02,2013-12-16,2013-02-25,294,FALSE,NA,NA
"139","IT",8,2017-09-11,2017-11-19,2013-02-25,1728,FALSE,NA,NA
"140","IT",9,2018-12-17,2019-03-10,2018-03-04,371,FALSE,NA,NA
"141","LT",5,2011-05-26,2011-08-20,2008-10-12,1042,FALSE,NA,NA
"142","LT",6,2013-05-21,2013-08-25,2012-10-14,315,FALSE,NA,NA
"143","LT",7,2015-04-11,2015-06-14,2012-10-14,973,FALSE,NA,NA
